Model / framework;Version;Modeling language;last updated;Date;local (NUTS3)/pos;local (NUTS3)/used;regional (NUTS1-2)/pos;regional (NUTS1-2)/used;national/pos;national/used;international/pos;international/used;other spatial scope;very short/pos;very short/used;short/pos;short/used;intermediate/pos;intermediate/used;long/pos;long/used;other temporal scope;<hourly/pos;<hourly/used;hourly/pos;hourly/used;intermediate/pos.1;intermediate/used.1;annual/pos;annual/used;other temporal resolution;perfect foresight;rolling horizon / myopic foresight;decision-/agentbased;other decision making;no decision making;heat sector excluded;exo aggregated heat dem;end disaggregated heat dem;end disaggregated heat tech;other heat representation;transport sector excluded;exo aggregated transport dem;end disaggregated transport dem;end disaggregated transport tech;other transport representation;prob yes;prob no;explanation;social yes;social no;explanation.1;spinning reserve;balancing energy;sheddable loads;Feed-in management;redispatch;power factor correction;curtailment;black start;explanation.2;new features yes;new features no;If yes, which ones;user implementation yes;user implementation no;explanation.3;efficiency fixed value;efficiency function;efficiency other;explanation.4;ramping yes;ramping no;explanation.5;response time yes;response time no;explanation.6;recovery time yes;recovery time no;explanation.7;Year;no grid;transfer capacity;AC PF;DC PF;interconnectors;explanation.8;simplified;flow based;no import;other import;explanation.9;minimum load yes;minimum load no;explanation.10;discrete expansion yes;discrete expansion no;explanation.11;max def load fixed value;Time-dependent;Type-dependent;time- and type-dependent;no max def load;other max def load;shifting time yes;shifting time no;explanation.12;price elasticity yes;price elasticity no;explanation.13;fixed/static;dynamic;no storage;explanation.14;cycle aging;calendrical aging;no aging;explanation.15;self discharge yes;self discharge no;explanation.16;curtailed operation yes;curtailed operation no;explanation.17;hard coal/pos;hard coal/def;lignite/pos;lignite/def;oil/pos;oil/def;natural gas/pos;natural gas/def;CCGT/pos;CCGT/def;OCGT/pos;OCGT/def;CHP/pos;CHP/def;other conv;Bioenergy/pos;Bioenergy/def;geothermal/pos;geothermal/def;hydropower reservoir/pos;hydropower reservoir/def;concentrated solar power/pos;concentrated solar power/def;other dRES;photovoltaic/pos;photovoltaic/def;wind onshore/pos;wind onshore/def;Wind-offshore/pos;Wind-offshore/def;Run-of-river hydro/pos;Run-of-river hydro/def;wave power/pos;wave power/def;tidal power/pos;tidal power/def;other vRES;PEM-FC/pos;PEM-FC/def;SOFC/pos;SOFC/def;Nuclear/pos;Nuclear/def;other supply;Comments;households/pos;households/def;industrial load/pos;industrial load/def;service sector/pos;service sector/def;other load;P2Gas/pos;P2Gas/def;P2H2/pos;P2H2/def;HP/pos;HP/def;EV/pos;EV/def;other SC load;comments;PHS/pos;PHS/def;Batteries/pos;Batteries/def;CAES/pos;CAES/def;Caps/pos;Caps/def;Flywheels/pos;Flywheels/def;other storage;Fuels (H2)/pos;Fuels (H2)/def;Heat storage/pos;Heat storage/def;V2Grid/pos;V2Grid/def;other SC storage;comments.1;Distribution Grid/pos;Distribution Grid/def;Transmission Grid/pos;Transmission Grid/def;Smart Grid/pos;Smart Grid/def;Microgrid/pos;Microgrid/def;other grid operation;interconnectors/pos;interconnectors/def;network extension/pos;network extension/def;switches/pos;switches/def;other grid topology;comments.2;Additional comments;model;framework;comment
eGo;0.0.11 dev;Python;;01.04.2020;1;1;1;1;1;1;;;Mittelspannungsgebiete;1;;1;;1;1;1;1;;1;1;1;1;1;;1;;;1;;;AC-OPF, Heuristic as perfect foresight;;1;;;;;1;;;;;;1;;;1;;;1;;1;;;;;balancing energy: PRL Speicher werden untersucht aber zeitreihen exogen vorgegeben (da Frequenz exogen vorgegeben wird und nicht berechnet);1;Integration E-Fahrzeuge (gesteuertes Laden, V2G), Waermepumpen, Blindleistungsregelung;Integration EV(gesteuertes Laden, V2G) [Q2 2020], HP[Ende2020Anfang2021],Blindleistungsregelung[Ende2020];1;;;1;;;fixer speicherwirkungsgrad;;1;;;1;;;1;;;;;1;1;1;;1;1;;;;;1;;;1;;;;;;1;;;1;;;1;;1;;;;;;1;;;1;;1;;;1;;1;;1;;1;;1;;1;;1;;;1;;1;;1;;1;;;1;1;1;1;1;1;1;;1;;1;;;1;;1;;1;;;"variable regenerative Anlagen koennen abgeregelt werden und es moessen wetter-abhaengige Erzeugungszeitreihen vorgegeben werden; alle anderen Anlagen koennen bis zu ihrer Nennleistung einspeisen, es werden aber keine Wirkungsgrade oder Anfahrtszeiten, etc. beruecksichtigt";1;;1;;1;;;1;;1;;1;;1;1;;Bedarf von Elektrofahrzeugen und Ladesaeulenstandorte werden durch anderes Tool ermittelt und dienen als Input in edisgo;1;;1;1;1;1;;;;;;1;;1;;1;1;;;1;1;1;1;1;;1;;;1;1;1;1;1;1;;;;1;;
backbone;1.3 (beta);GAMS;02.04.2020;09.04.2020;1;;1;1;1;1;1;1;The geographical resolution is data driven;;;;;1;;1;1;The temporal scope is data driven;1;1;1;1;1;;1;;The temporal resolution is data driven;1;1;;stochastic (short-term forecasts and/or long-term prices, etc);;1;1;;1;Energy sectors are data driven - Backbone just gives different methods to present the physics and economics;1;1;;1;Energy sectors are data driven - Backbone just gives different methods to present the physics and economics;1;;Short-term forecasts with a stochastic tree and/or longer-term uncertainty related to prices, investment costs, taxation, demand are possible to model;;1;User can add new constraints and/or costs to the objective function, but there are no implemented methods.;1;1;1;1;1;;;;User can add new constraints and/or costs to the objective function, but there are no implemented methods.;1;;Currently testing a more flexible way to define inputs and outputs from a unit as well their relations (feasible operating area). Post-processing MIP marginal values (market prices). Decomposition. Improving computation time.;1;;User can add extra constraints as well as terms to the objective function (or replace the objective function). Users can also participate in the open source development (https://gitlab.vtt.fi/backbone/backbone).;1;1;;There are multiple methods the user can choose from for a particular unit (that can be generation, consumption, conversion, storage).;1;;The model has ramp constraints that also apply to reserves.;1;;Different reserve categories can have different response requirements.;1;;This can typically be done by presenting the physics of the system that should include some form of storage that can be depleted but needs to be replenished.;2016 (or 2015, but version control is from 2016 onward);;1;;1;;;1;1;;;;1;;;1;;;1;1;1;1;;Not fully sure what is meant by this, but in Backbone you can present energy consuming units just as freely as generating units (they can have connected storages that can create time-dependent constraints).;1;;Again, it is possible to use storages and unit specific time series to model this. There is no explicit time shifting unit type with its own set of constraints.;;1;Could be added by the user.;;1;;;;;1;;1;;;1;;;1;;1;;1;;1;;1;;1;;1;;multiple fuels and/or multiple outputs are possible;1;;1;;1;;1;;multiple fuels and/or multiple outputs are possible;1;;1;;1;;1;;1;;1;;There are no technology specific limits;1;;1;;1;;;Representation of different technologies is up to the user, nothing is predefined (of course one can copy unittypes from existing model instances).;1;;1;;1;;;1;;1;;1;;1;;;Representation of different technologies is up to the user, nothing is predefined (of course one can copy unittypes from existing model instances).;1;;1;;1;;1;;1;;;1;;1;;1;;;Representation of different technologies is up to the user, nothing is predefined (of course one can copy unittypes from existing model instances).;1;;1;;1;;1;;;1;;1;;1;;heat transfer physics;Switches can be implemented by using integer based units as connectors.;;;1;
Calliope;0.6.5;Python;;16.04.2020;1;1;1;1;1;1;1;1;arbitrary scales possible;1;;1;;1;1;1;1;;1;;1;1;1;1;1;1;;1;1;;;;1;1;1;1;;1;1;1;1;;;1;Probabilistic analysis using Calliope has been undertaken, but it is not yet implemented in the core code, see this branch: https://github.com/calliope-project/calliope/tree/stochastic_optimisation;;1;;;;;;;;;;;1;;https://github.com/calliope-project/calliope/issues and https://github.com/calliope-project/calliope/projects/2;1;;https://github.com/calliope-project/calliope/blob/master/CONTRIBUTING.md;1;1;;;1;;;;1;;;1;;2013;;1;;;1;;;1;;;;1;;;1;;;;;;;;Fixed demand can be set, as well as total demand over the temporal scope (per type), the difference being the deferrable load.;;1;;;1;;1;;;;;;1;;1;;;1;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;1;1;1;;1;1;1;1;;1;1;1;1;1;1;1;1;1;;1;;solar thermal;1;;1;;1;1;We provide a model gallery (on our website) describing previous studies, and two small example models (in the package). They all define a selection of technologies that can be used in other studies (hence selected above as predefined);;1;1;1;1;1;;;1;1;1;1;1;1;1;;See previous comment;;1;1;1;1;1;1;1;;1;;;1;1;1;1;1;;;See previous comment;1;1;1;1;;;1;;;1;;1;;;;;#NAME?;;;1;
DIETER;01.04.2000;GAMS;10.04.2020;07.04.2020;;;;;1;1;1;;Germany and electric neighbors;;;;;1;;1;1;;;;1;1;;;;;;1;;;;;;;;1;disaggregated technologies, but exogenous demand per technology;;;1;;1;;1;;;1;;1;1;1;;;;1;;We do not have a grid, but a representation of reserves, load shedding, and RES curtailment;1;;Bottom-up weather data, Python interface;1;;Everyone can continue coding;1;;;;1;;Yes, stylized using load change costs;1;;Yes, stylized in case of thermal plants providing reserves;1;;Yes, for demand-side management load shifting and load shedding;2015;;1;;;;;;;;1;NTC-based international transport model;1;;Only applied to provision of negative reserves;;1;;;;;1;;;;;;;1;;1;;;;;;1;;1;;;1;;RES may reduce output to provide reserves;1;1;1;1;1;1;1;1;1;1;1;1;;;;1;1;;;1;1;;;;1;1;1;1;1;1;1;1;;;;;;1;1;;;1;1;;;1;1;1;1;1;1;1;;;1;1;1;1;1;1;Demand response: 8 aggregated technologies, based on hh, industry, and service sector data;;1;1;1;1;1;1;;;;;;1;1;1;1;1;1;;4 types of batteries;;;;;;;;;;1;1;1;1;;;;NTC-based international transport model;;1;;
Dispa-SET;02. Apr;GAMS, Python;March 2020;16.04.2020;1;;1;;1;1;1;1;;;;;;1;;1;1;;1;;1;1;1;1;;;;1;;;;;;1;;1;Heat demand curves are exogenous but heat dispatch/storage is optimized in the model.;;1;;1;Same remarque: demand and driving profiles are exogenous, but charging patterns are optimized.;;1;;;1;;1;1;1;;;;;;;1;;"Automated coupling with other models + feedback loops; Improved reserve sizing methodology; grid stability constraints; piecewise linear representation of heating appliances; ...";1;;Requires some knowledge of the model structure;1;1;;;1;;;1;;very basic implementation: flexible units wish short start-up times can participate to secondary reserve markets;1;;typical min up/down time constraints;2015;;1;;;;;;1;;;;1;;;;1;;;1;;;;;1;;constant value;;1;;1;;;;;;1;;1;;;1;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;1;1;1;1;1;1;1;1;;1;1;1;1;1;1;;;;;;;;;;;;1;1;;;1;;;;;;;;;1;1;1;1;1;1;;power-to-gas is implemented but will be part of the next release (2.5). Coupling with a household model has been done in a branch but is not integrated into the master.;1;1;1;1;1;1;;;;;;1;1;1;1;1;1;;;;;1;1;;;;;;;;;;;;;;;1;;
EMMA;2020;GAMS;2020;07.04.2020;;;;;1;1;;;;;;;;;;1;1;;;;1;1;;;;;;1;;;;;;1;;;;1;;;;;;1;;;1;;1;;1;;;;;;;;1;;1;;;1;;;;;1;under development;;1;;;1;;;;;;;1;;1;;;;;;1;;;1;;;;;1;;;;1;only implicit by the limitation on how much energy can be shifted;1;;load shedding, i.e. perfect elasticity at the value of lost load;1;;;;;;1;;1;;;;1;But renewables are curtailed based on wholesale market prices;1;1;1;1;;;1;1;1;1;1;1;1;1;coal CCS;1;1;;;1;1;;;;1;1;1;1;1;1;1;1;;;;;;;;;;1;1;;;;;;;;;;;;;;1;;;;;power-to-hydrogen is under development;1;1;1;1;;;;;;;;;;1;1;;;;Hydrogen storage is under development;;;;;;;;;;1;1;1;;;;;;;1;;
EnergyPLAN;15;Delphi, Pascal;2019;;1;;1;;1;1;1;1;European/continental;;;;;;;1;1;The model simulates specifically a year;;;1;1;;;;;;1;;1;The model in some cases have perfect foresight of demand and VRES supply. In other cases the choices are made on an hourly basis based on analytical programming.;;;;1;1;;;;1;;;;1;;;1;We can however implement taxes, which can influence the behavior in the market operation;;1;;;;;1;;;1;;More detailed transmission modelling. Else we keep adding and updating technologies;;1;While it is not possible to add new features to the program, it is possible to develop extensions and add ons to EnergyPLAN using command line features. We also assist in developing new command line functions if they are needed.;1;;;;;1;;;1;;;1;;;;;;;1;Three simplified grids are included: electricity, thermal and gas;;1;;;;1;;;;1;;1;;;;;Not sure what is meant -> changed after contact in mail (no option was selected before) The amount of demand that is flexible and the peak load of that flexiblility. Furthermore, the user can choose between different time spans of the flexibility. One is flexible within 1 Day, one is flexible within 1 Week and the final option is flexible within 4 Weeks.;1;;If it is meant that we can model demands that shift in time then yes. We have the option of modelling flexible electricity demands.;1;;;1;;;;;;1;;;1;;;1;;1;;1;;1;1;1;1;1;;1;;1;1;;1;1;1;1;1;1;1;1;;1;1;1;1;1;1;1;1;1;1;1;1;;1;;1;;1;1;;;1;;1;;;;1;1;1;1;1;1;1;1;1;;We can do demand respsone of electricity demands. This can include households, services and industry.;1;1;1;;1;1;1;;1;;;1;1;1;1;1;1;;;;;;;;;;;;1;1;;;;;;EnergyPLAN assumes the system as a single node, with one interconnector to the surroundings.;;1;;
EnergyScope;v2;GLPK, GLPSOL;Mrz 20;08.04.2020;1;;1;;1;1;1;1;;;;;;;;1;1;decades (long term planning);;;;;1;1;1;1;we use a hourly time slice with typical days;1;;;;;;;;1;;;;;1;;;1;;;1;;;;;;;;1;;The power demand and supply must be balanced every hour. It is more an energy perspective: can we supply this amount of energy during this hour.;1;;pathway modelisation. Today, the V2 optimises a snapshot future energy system. In the next version (pathway) we aim at optimising the system design between existing energy system (2020) until long term target (2050).;1;;The code is open source and documented. It is used for teaching activities where students implement new features, such as technologies.;1;;;;;1;;;1;;;1;;;1;;;;;;1;;;;through a net transfer capacity and import/export prices.;;1;;;1;;;1;;;;;;1;;;1;;1;;;;;;1;;1;;;1;;;1;1;1;1;1;1;1;1;1;1;1;;1;1;1;1;1;1;1;1;1;1;;;1;1;1;1;1;1;1;1;1;;1;;;1;;1;;1;1;;;1;;1;;1;;;1;1;1;1;1;1;1;1;Industrial process electrical heating;;1;1;1;1;1;;1;;1;;;1;1;1;1;1;1;;;;;;;;;;;;;;;;;;;;multi-sectoral energy system model for long-term planning;1;;
oemof;v0.3.2;Python;29.11.2019;03.04.2020;1;1;1;1;1;1;1;1;;1;;1;;1;;1;1;;1;;1;1;1;;1;;;1;;;;;;1;1;1;;;1;1;1;;;1;;;1;;;1;1;;;;;;;1;;To name only two examples: district heating optimisation and simulation, absorption heat pumps;1;;;1;;Fixed value or pre-defined time series;;1;;;;1;;1;;Minimum up and down times can be set.;2015;;1;;1;1;;1;1;;;;1;;;;1;;1;1;1;1;;SinkDSM can be parametrized by standard load plus flexibilization areas;1;;Choice by user;;1;;;1;;It is possible to pass an exogenously defined time series of efficiencies. Endogenous changes of efficiencies lead to nonlinear relations and cannot be represented.;;1;;Exegenously defined aging is possible.;1;;;;;;1;;1;;1;;1;;1;;1;;1;1;;1;;1;;1;;1;1;;1;;1;;1;;1;;1;;1;;;1;;1;;1;;;;1;;1;;1;;;1;;1;;1;1;1;;;;1;;1;;1;1;1;;1;;;1;;1;1;1;;;;;;1;;1;;1;;;1;;1;;1;;;;;;1;
OMEGAlpes;v0.3.1;Python;13.03.2020;22.04.2020;1;1;1;;;;;;scale of the energy project ;;;;;1;;1;1;depending on the used/available data;1;;1;1;1;;;;depending on the used/available data;1;;;;;;;;;user defined;1;;;;;;1;thermal comfort in considered in the thermal package of OMEGAlpes;1;;Objectives and constraints of stakeholders are pre-modelled and can be modelled separately from the technical ones.;;1;;;;;;;No ancillary services actually represented. Energy balance is ensured through energy nodes, and constraints such as shiftable loads, or energy units with availability hours, min time on or min time off.;1;;Economy and exergy package in the coming weeks, improved graphical interface next year;1;;Project available on Gitlab, License Apache 2.0., generic energy units (consumption, production, conversion and storage) enable the user to easily develop its own instances of energy units, or scenarios.;;;Not implemented yet, efficiency is constant at the moment.;;1;;user can define max ramp up or max ramp down for energy units.;;1;;;1;;2019;1;;;;;;1;;;;Simplified exports and imports can be set between energy nodes that ensure the power balance.;1;;a minimal power or energy value can be given for energy units.;;1;;;;;;;user defined with Shiftable Energy Unit, or with maximal energy (e_max) consumed by a variable energy unit;;1;;;1;;1;;;Storage Units with bounded state of charge (SoC), charging and discharging efficiency with fixed value;;;1;;1;;self discharging is either fixed or is SoC dependent;;1;;1;;1;;1;;1;;1;;1;;1;;;1;;1;;1;;1;;;1;;1;;1;;1;;1;;1;;;1;;1;;1;;;Production units are considered as a general Energy Units in OMEGAlpes and various kind of production can be implemented. However, the model should remain basic and if possible linear;1;;1;;;;;1;;1;;1;1;1;;Consumption Unit are considered as a general EnergyUnit in OMEGAlpes and various kind of consumption can be implemented. However, the model should remain basic and if possible linear;;1;;1;;1;;1;;1;;;;;1;1;;;;Storage is considered as a general EnergyUnit in OMEGAlpes and various kind of storage can be implemented. A specific thermal storage have been developed. However, the model should remain basic and if possible linear;1;;1;;1;;1;;;;;;;;;;Grids can be represented with conversion or reversible energy unit depending on the use case. Once again, the model should remain basic and if possible linear;Generally speaking, OMEGAlpes is suited and used for local multi-energy projects. Very few functions were developed for regional and national power grids, which explains the generic answers to some questions, such as the ones from part 4.;1;;
